key;day_full;day;month_nr;Semester;year
471;16/04/2011;16;4;1;2011
472;17/04/2011;17;4;1;2011
473;18/04/2011;18;4;1;2011
474;19/04/2011;19;4;1;2011
475;20/04/2011;20;4;1;2011
476;21/04/2011;21;4;1;2011
477;22/04/2011;22;4;1;2011
478;23/04/2011;23;4;1;2011
479;24/04/2011;24;4;1;2011
480;25/04/2011;25;4;1;2011
481;26/04/2011;26;4;1;2011
482;27/04/2011;27;4;1;2011
483;28/04/2011;28;4;1;2011
484;29/04/2011;29;4;1;2011
485;30/04/2011;30;4;1;2011
486;01/05/2011;1;5;1;2011
487;02/05/2011;2;5;1;2011
488;03/05/2011;3;5;1;2011
489;04/05/2011;4;5;1;2011
490;05/05/2011;5;5;1;2011
491;06/05/2011;6;5;1;2011
492;07/05/2011;7;5;1;2011
493;08/05/2011;8;5;1;2011
494;09/05/2011;9;5;1;2011
495;10/05/2011;10;5;1;2011
496;11/05/2011;11;5;1;2011
497;12/05/2011;12;5;1;2011
498;13/05/2011;13;5;1;2011
499;14/05/2011;14;5;1;2011
500;15/05/2011;15;5;1;2011
501;16/05/2011;16;5;1;2011
502;17/05/2011;17;5;1;2011
503;18/05/2011;18;5;1;2011
504;19/05/2011;19;5;1;2011
505;20/05/2011;20;5;1;2011
506;21/05/2011;21;5;1;2011
507;22/05/2011;22;5;1;2011
508;23/05/2011;23;5;1;2011
509;24/05/2011;24;5;1;2011
510;25/05/2011;25;5;1;2011
511;26/05/2011;26;5;1;2011
512;27/05/2011;27;5;1;2011
513;28/05/2011;28;5;1;2011
514;29/05/2011;29;5;1;2011
515;30/05/2011;30;5;1;2011
516;31/05/2011;31;5;1;2011
517;01/06/2011;1;6;1;2011
518;02/06/2011;2;6;1;2011
519;03/06/2011;3;6;1;2011
520;04/06/2011;4;6;1;2011
521;05/06/2011;5;6;1;2011
522;06/06/2011;6;6;1;2011
523;07/06/2011;7;6;1;2011
524;08/06/2011;8;6;1;2011
525;09/06/2011;9;6;1;2011
526;10/06/2011;10;6;1;2011
527;11/06/2011;11;6;1;2011
528;12/06/2011;12;6;1;2011
529;13/06/2011;13;6;1;2011
530;14/06/2011;14;6;1;2011
531;15/06/2011;15;6;1;2011
532;16/06/2011;16;6;1;2011
533;17/06/2011;17;6;1;2011
534;18/06/2011;18;6;1;2011
535;19/06/2011;19;6;1;2011
536;20/06/2011;20;6;1;2011
537;21/06/2011;21;6;1;2011
538;22/06/2011;22;6;1;2011
539;23/06/2011;23;6;1;2011
540;24/06/2011;24;6;1;2011
541;25/06/2011;25;6;1;2011
542;26/06/2011;26;6;1;2011
543;27/06/2011;27;6;1;2011
544;28/06/2011;28;6;1;2011
545;29/06/2011;29;6;1;2011
546;30/06/2011;30;6;1;2011
547;01/07/2011;1;7;2;2011
548;02/07/2011;2;7;2;2011
549;03/07/2011;3;7;2;2011
550;04/07/2011;4;7;2;2011
551;05/07/2011;5;7;2;2011
552;06/07/2011;6;7;2;2011
553;07/07/2011;7;7;2;2011
554;08/07/2011;8;7;2;2011
555;09/07/2011;9;7;2;2011
556;10/07/2011;10;7;2;2011
557;11/07/2011;11;7;2;2011
558;12/07/2011;12;7;2;2011
559;13/07/2011;13;7;2;2011
560;14/07/2011;14;7;2;2011
561;15/07/2011;15;7;2;2011
562;16/07/2011;16;7;2;2011
563;17/07/2011;17;7;2;2011
564;18/07/2011;18;7;2;2011
565;19/07/2011;19;7;2;2011
566;20/07/2011;20;7;2;2011
567;21/07/2011;21;7;2;2011
568;22/07/2011;22;7;2;2011
569;23/07/2011;23;7;2;2011
570;24/07/2011;24;7;2;2011
571;25/07/2011;25;7;2;2011
572;26/07/2011;26;7;2;2011
573;27/07/2011;27;7;2;2011
574;28/07/2011;28;7;2;2011
575;29/07/2011;29;7;2;2011
576;30/07/2011;30;7;2;2011
577;31/07/2011;31;7;2;2011
578;01/08/2011;1;8;2;2011
579;02/08/2011;2;8;2;2011
580;03/08/2011;3;8;2;2011
581;04/08/2011;4;8;2;2011
582;05/08/2011;5;8;2;2011
