key;day_full;day;month_full;month_nr;month_short;month_name;Semester_full;Semester;year
222;10/08/2010;10;ago/10;8;AUG;August;2010-S2;2;2010
223;11/08/2010;11;ago/10;8;AUG;August;2010-S2;2;2010
224;12/08/2010;12;ago/10;8;AUG;August;2010-S2;2;2010
225;13/08/2010;13;ago/10;8;AUG;August;2010-S2;2;2010
226;14/08/2010;14;ago/10;8;AUG;August;2010-S2;2;2010
227;15/08/2010;15;ago/10;8;AUG;August;2010-S2;2;2010
228;16/08/2010;16;ago/10;8;AUG;August;2010-S2;2;2010
229;17/08/2010;17;ago/10;8;AUG;August;2010-S2;2;2010
230;18/08/2010;18;ago/10;8;AUG;August;2010-S2;2;2010
231;19/08/2010;19;ago/10;8;AUG;August;2010-S2;2;2010
232;20/08/2010;20;ago/10;8;AUG;August;2010-S2;2;2010
233;21/08/2010;21;ago/10;8;AUG;August;2010-S2;2;2010
234;22/08/2010;22;ago/10;8;AUG;August;2010-S2;2;2010
235;23/08/2010;23;ago/10;8;AUG;August;2010-S2;2;2010
236;24/08/2010;24;ago/10;8;AUG;August;2010-S2;2;2010
237;25/08/2010;25;ago/10;8;AUG;August;2010-S2;2;2010
238;26/08/2010;26;ago/10;8;AUG;August;2010-S2;2;2010
239;27/08/2010;27;ago/10;8;AUG;August;2010-S2;2;2010
240;28/08/2010;28;ago/10;8;AUG;August;2010-S2;2;2010
241;29/08/2010;29;ago/10;8;AUG;August;2010-S2;2;2010
242;30/08/2010;30;ago/10;8;AUG;August;2010-S2;2;2010
243;31/08/2010;31;ago/10;8;AUG;August;2010-S2;2;2010
244;01/09/2010;1;set/10;9;SEP;September;2010-S2;2;2010
245;02/09/2010;2;set/10;9;SEP;September;2010-S2;2;2010
246;03/09/2010;3;set/10;9;SEP;September;2010-S2;2;2010
247;04/09/2010;4;set/10;9;SEP;September;2010-S2;2;2010
248;05/09/2010;5;set/10;9;SEP;September;2010-S2;2;2010
249;06/09/2010;6;set/10;9;SEP;September;2010-S2;2;2010
250;07/09/2010;7;set/10;9;SEP;September;2010-S2;2;2010
251;08/09/2010;8;set/10;9;SEP;September;2010-S2;2;2010
252;09/09/2010;9;set/10;9;SEP;September;2010-S2;2;2010
253;10/09/2010;10;set/10;9;SEP;September;2010-S2;2;2010
254;11/09/2010;11;set/10;9;SEP;September;2010-S2;2;2010
255;12/09/2010;12;set/10;9;SEP;September;2010-S2;2;2010
256;13/09/2010;13;set/10;9;SEP;September;2010-S2;2;2010
257;14/09/2010;14;set/10;9;SEP;September;2010-S2;2;2010
258;15/09/2010;15;set/10;9;SEP;September;2010-S2;2;2010
259;16/09/2010;16;set/10;9;SEP;September;2010-S2;2;2010
260;17/09/2010;17;set/10;9;SEP;September;2010-S2;2;2010
261;18/09/2010;18;set/10;9;SEP;September;2010-S2;2;2010
262;19/09/2010;19;set/10;9;SEP;September;2010-S2;2;2010
263;20/09/2010;20;set/10;9;SEP;September;2010-S2;2;2010
264;21/09/2010;21;set/10;9;SEP;September;2010-S2;2;2010
265;22/09/2010;22;set/10;9;SEP;September;2010-S2;2;2010
266;23/09/2010;23;set/10;9;SEP;September;2010-S2;2;2010
267;24/09/2010;24;set/10;9;SEP;September;2010-S2;2;2010
268;25/09/2010;25;set/10;9;SEP;September;2010-S2;2;2010
269;26/09/2010;26;set/10;9;SEP;September;2010-S2;2;2010
270;27/09/2010;27;set/10;9;SEP;September;2010-S2;2;2010
271;28/09/2010;28;set/10;9;SEP;September;2010-S2;2;2010
272;29/09/2010;29;set/10;9;SEP;September;2010-S2;2;2010
273;30/09/2010;30;set/10;9;SEP;September;2010-S2;2;2010
274;01/10/2010;1;out/10;10;OCT;October;2010-S2;2;2010
275;02/10/2010;2;out/10;10;OCT;October;2010-S2;2;2010
276;03/10/2010;3;out/10;10;OCT;October;2010-S2;2;2010
277;04/10/2010;4;out/10;10;OCT;October;2010-S2;2;2010
278;05/10/2010;5;out/10;10;OCT;October;2010-S2;2;2010
279;06/10/2010;6;out/10;10;OCT;October;2010-S2;2;2010
280;07/10/2010;7;out/10;10;OCT;October;2010-S2;2;2010
281;08/10/2010;8;out/10;10;OCT;October;2010-S2;2;2010
282;09/10/2010;9;out/10;10;OCT;October;2010-S2;2;2010
283;10/10/2010;10;out/10;10;OCT;October;2010-S2;2;2010
284;11/10/2010;11;out/10;10;OCT;October;2010-S2;2;2010
285;12/10/2010;12;out/10;10;OCT;October;2010-S2;2;2010
286;13/10/2010;13;out/10;10;OCT;October;2010-S2;2;2010
